Time;Value
0;32468
1;32687
2;32914
3;32623
4;32286
5;32074
6;32343
7;32022
8;32276
9;32479
10;32262
11;31973
12;31676
13;31391
14;31674
15;31944
16;31736
17;31364
18;31047
19;30824
20;30477
21;30270
22;30059
23;30263
24;29917
25;29637
26;29336
27;29010
28;29236
29;29469
30;29101
31;29365
32;29627
33;29891
34;30140
35;29862
36;29571
37;29830
38;30044
39;29790
40;30001
41;29760
42;29989
43;29677
44;29916
45;30214
46;30495
47;30213
48;29853
49;29521
50;29137
51;28822
52;28483
53;28112
54;28380
55;28656
56;28337
57;28137
58;27876
59;28144
60;27858
61;28085
62;28322
63;28579
64;28307
65;27940
66;27640
67;27241
68;27518
69;27723
70;27418
71;27625
72;27387
73;27599
74;27399
75;27691
76;27926
77;27600
78;27382
79;27181
80;26894
81;26621
82;26391
83;26651
84;26369
85;26026
86;25661
87;25320
88;25600
89;25834
90;25525
91;25236
92;24947
93;25220
94;24905
95;25170
96;25452
97;25082
98;24790
99;25014
100;25242
101;25541
102;25761
103;25544
104;25815
105;25569
106;25230
107;25477
108;25086
109;25373
110;24987
111;25268
112;24948
113;25212
114;25466
115;25679
116;25354
117;25574
118;25791
119;26014
120;25648
121;25883
122;26155
123;25949
124;25638
125;25854
126;26142
127;25823
128;26115
129;26329
130;25970
131;25689
132;25311
133;24994
134;25224
135;25433
136;25094
137;25333
138;25100
139;24754
140;24364
141;24117
142;24359
143;24576
144;24798
145;24420
146;24675
147;24435
148;24672
149;24341
150;24625
151;24425
152;24674
153;24958
154;24634
155;24317
156;24597
157;24823
158;24612
159;24271
160;24070
161;24335
162;24612
163;24273
164;24539
165;24816
166;25076
167;24813
168;25046
169;24752
170;25027
171;24631
172;24917
173;24551
174;24825
175;25073
176;25324
177;25018
178;25267
179;25043
180;24801
181;24533
182;24799
183;25004
184;25270
185;25046
186;25342
187;25036
188;25335
189;25633
190;25895
191;25509
192;25746
193;25988
194;25658
195;25398
196;25156
197;24897
198;25179
199;24959
200;24723
201;24340
202;24016
203;24312
204;23947
205;24233
206;24449
207;24690
208;24445
209;24167
210;24388
211;24684
212;24452
213;24702
214;24991
215;25193
216;25470
217;25706
218;25466
219;25695
220;25982
221;25699
222;25957
223;26159
224;26361
225;26088
226;25724
227;25524
228;25277
229;25489
230;25714
231;25430
232;25696
233;25330
234;25086
235;25374
236;25585
237;25879
238;25602
239;25277
240;24897
241;25147
242;25403
243;25699
244;25974
245;26191
246;25887
247;26122
248;25785
249;26015
250;25644
251;25884
252;25620
253;25848
254;25583
255;25881
256;25666
257;25944
258;25558
259;25790
260;25566
261;25239
262;24875
263;24663
264;24905
265;25147
266;25417
267;25095
268;24802
269;24529
270;24763
271;24980
272;25279
273;25521
274;25802
275;26052
276;26272
277;25998
278;26297
279;26058
280;26330
281;26591
282;26837
283;26531
284;26734
285;27025
286;26752
287;27021
288;26790
289;27014
290;27310
291;26972
292;26772
293;26441
294;26090
295;25835
296;25578
297;25366
298;25596
299;25315
300;25555
301;25189
302;24976
303;24659
304;24916
305;24643
306;24258
307;23865
308;24073
309;23710
310;23957
311;23720
312;23943
313;24158
314;24405
315;24026
316;24262
317;23968
318;23697
319;23423
320;23711
321;23996
322;24268
323;23994
324;24240
325;24488
326;24181
327;23903
328;23645
329;23851
330;23471
331;23690
332;23434
333;23720
334;24004
335;23770
336;24050
337;24260
338;24012
339;24234
340;23986
341;23692
342;23955
343;24181
344;24479
345;24239
346;23974
347;24177
348;23819
349;23559
350;23322
351;23534
352;23770
353;24001
354;24232
355;24438
356;24703
357;24924
358;25142
359;24781
360;25010
361;25266
362;25493
363;25729
364;26013
365;26282
366;26512
367;26312
368;26101
369;25786
370;26031
371;26293
372;26074
373;26356
374;26016
375;25806
376;26065
377;26350
378;26099
379;25756
380;25999
381;25636
382;25395
383;25118
384;25405
385;25670
386;25937
387;26142
388;26372
389;26056
390;26343
391;26561
392;26842
393;26596
394;26816
395;27032
396;27308
397;27548
398;27192
399;26818
400;27031
401;26715
402;26981
403;26610
404;26883
405;26492
406;26778
407;27057
408;27280
409;26954
410;26754
411;26991
412;26666
413;26280
414;26535
415;26153
416;25831
417;26093
418;26325
419;25953
420;25693
421;25969
422;25613
423;25266
424;25477
425;25755
426;25447
427;25732
428;25360
429;25105
430;25347
431;25132
432;25356
433;25571
434;25305
435;25065
436;25307
437;24958
438;24737
439;24469
440;24207
441;23878
442;24102
443;23786
444;24072
445;23718
446;23918
447;23710
448;23406
449;23047
450;23270
451;23517
452;23784
453;23990
454;23775
455;23547
456;23758
457;23498
458;23209
459;22917
460;23141
461;22886
462;23124
463;22735
464;22511
465;22799
466;22494
467;22095
468;22360
469;22659
470;22387
471;22046
472;21801
473;21450
474;21745
475;22020
476;21701
477;21971
478;22202
479;22459
480;22083
481;22307
482;22563
483;22363
484;22567
485;22831
486;23071
487;22779
488;22446
489;22718
490;22402
491;22624
492;22269
493;22513
494;22781
495;22501
496;22280
497;22533
498;22141
499;21771
500;21524
501;21140
502;20919
503;21190
504;21440
505;21659
506;21302
507;20950
508;21215
509;21490
510;21754
511;21547
512;21764
513;22029
514;22280
515;22487
516;22287
517;22577
518;22782
519;23009
520;23213
521;23417
522;23029
523;23264
524;23553
525;23835
526;23554
527;23258
528;23557
529;23320
530;23554
531;23756
532;24015
533;24261
534;23956
535;23588
536;23848
537;24124
538;24364
539;23972
540;23742
541;24028
542;24244
543;24452
544;24663
545;24353
546;24019
547;24263
548;23889
549;24131
550;23836
551;23607
552;23885
553;23589
554;23334
555;23572
556;23777
557;24021
558;23801
559;23530
560;23790
561;23997
562;23665
563;23877
564;24130
565;24417
566;24677
567;24952
568;25235
569;25016
570;24716
571;24984
572;24638
573;24935
574;25157
575;24762
576;24978
577;25241
578;25449
579;25650
580;25940
581;26229
582;26514
583;26751
584;26514
585;26210
586;26414
587;26195
588;26476
589;26743
590;26378
591;26036
592;25695
593;25354
594;25561
595;25851
596;25616
597;25369
598;25644
599;25339
600;25099
601;25352
602;25607
603;25270
604;25541
605;25756
606;25545
607;25760
608;25393
609;25018
610;25298
611;25524
612;25213
613;24867
614;25165
615;24927
616;25143
617;24767
618;24393
619;24682
620;24927
621;25134
622;24810
623;25014
624;24624
625;24835
626;24593
627;24834
628;25071
629;24830
630;24564
631;24860
632;25109
633;24863
634;25066
635;25328
636;25582
637;25332
638;25029
639;25307
640;25032
641;24637
642;24432
643;24683
644;24474
645;24110
646;24384
647;24615
648;24894
649;24514
650;24260
651;24017
652;24228
653;23873
654;24128
655;23908
656;24141
657;23790
658;24067
659;24321
660;24612
661;24866
662;25080
663;25294
664;25586
665;25810
666;25418
667;25696
668;25921
669;26134
670;26343
671;26622
672;26838
673;26556
674;26757
675;26372
676;25982
677;25728
678;25348
679;24981
680;24763
681;24968
682;24744
683;24437
684;24674
685;24933
686;25190
687;25441
688;25224
689;25484
690;25730
691;26006
692;25682
693;25470
694;25702
695;25497
696;25712
697;25982
698;25686
699;25941
700;25586
701;25807
702;25436
703;25135
704;24781
705;25011
706;24643
707;24289
708;24512
709;24750
710;24952
711;25193
712;25472
713;25734
714;25938
715;25558
716;25296
717;25501
718;25734
719;25995
720;25664
721;25954
722;25736
723;26032
724;25806
725;25434
726;25673
727;25878
728;26103
729;25826
730;25521
731;25736
732;25340
733;25611
734;25220
735;25440
736;25736
737;25965
738;25574
739;25862
740;26144
741;25836
742;26091
743;26381
744;26628
745;26321
746;26083
747;26377
748;26647
749;26892
750;26637
751;26856
752;26464
753;26077
754;25816
755;26112
756;25842
757;26066
758;25808
759;25449
760;25658
761;25291
762;25535
763;25244
764;24853
765;24561
766;24257
767;24509
768;24254
769;23871
770;23659
771;23379
772;23595
773;23246
774;23475
775;23728
776;23377
777;23177
778;22814
779;22472
780;22747
781;23000
782;23242
783;23517
784;23723
785;23367
786;23602
787;23218
788;23478
789;23147
790;22876
791;23088
792;22700
793;22372
794;22014
795;21746
796;22013
797;21695
798;21983
799;22199
800;22449
801;22140
802;21918
803;22124
804;21816
805;21485
806;21756
807;22006
808;22244
809;21866
810;21483
811;21759
812;22033
813;22256
814;21884
815;21526
816;21309
817;20973
818;20712
819;21007
820;20614
821;20313
822;19994
823;20213
824;19902
825;20118
826;19783
827;20051
828;20293
829;20539
830;20262
831;20506
832;20201
833;20449
834;20733
835;20415
836;20113
837;20355
838;20574
839;20333
840;20601
841;20253
842;20012
843;19739
844;19467
845;19741
846;19986
847;20279
848;19899
849;19512
850;19741
851;19970
852;19750
853;20040
854;19770
855;19450
856;19144
857;19399
858;19195
859;18802
860;18553
861;18293
862;18551
863;18350
864;18614
865;18279
866;18514
867;18180
868;17820
869;18026
870;18273
871;17881
872;17625
873;17828
874;18043
875;18260
876;18497
877;18770
878;18525
879;18197
880;17858
881;17566
882;17279
883;17555
884;17189
885;16891
886;17112
887;16777
888;16997
889;16661
890;16960
891;16632
892;16424
893;19353,6
894;19601,6
895;19894,6
896;19519,6
897;19799,6
898;19439,6
899;19719,6
900;20003,6
901;20214,6
902;20428,6
903;20669,6
904;20879,6
905;21171,6
906;20842,6
907;21050,6
908;21296,6
909;21079,6
910;20827,6
911;20463,6
912;20170,6
913;19844,6
914;19512,6
915;19277,6
916;19029,6
917;18805,6
918;18418,6
919;18703,6
920;18375,6
921;18621,6
922;18882,6
923;19164,6
924;18782,6
925;18402,6
926;18054,6
927;17799,6
928;18089,6
929;18317,6
930;18110,6
931;17861,6
932;18118,6
933;18410,6
934;18665,6
935;18934,6
936;19194,6
937;19468,6
938;19741,6
939;19407,6
940;19626,6
941;19365,6
942;19084,6
943;19346,6
944;19632,6
945;19359,6
946;19041,6
947;19274,6
948;19008,6
949;19224,6
950;18858,6
951;18528,6
952;18236,6
953;17889,6
954;17554,6
955;17845,6
956;18060,6
957;18353,6
958;18641,6
959;18879,6
960;19172,6
961;18845,6
962;18556,6
963;18854,6
964;19091,6
965;18821,6
966;18437,6
967;18724,6
968;19001,6
969;18795,6
970;18576,6
971;18790,6
972;18480,6
973;18775,6
974;18419,6
975;18675,6
976;18903,6
977;18678,6
978;18946,6
979;19211,6
980;19444,6
981;19709,6
982;19461,6
983;19750,6
984;20020,6
985;19654,6
986;19925,6
987;19597,6
988;19205,6
989;18900,6
990;19163,6
991;19372,6
992;19644,6
993;19922,6
994;19625,6
995;19389,6
996;19078,6
997;18728,6
998;18340,6
999;18542,6
1000;18807,6
1001;18545,6
1002;18834,6
1003;19121,6
1004;19399,6
1005;19675,6
1006;19467,6
1007;19690,6
1008;19339,6
1009;19009,6
1010;18796,6
1011;18586,6
1012;18874,6
1013;19085,6
1014;19339,6
1015;19061,6
1016;18795,6
1017;19019,6
1018;18688,6
1019;18340,6
1020;18629,6
1021;18900,6
1022;19138,6
1023;19353,6
1024;19645,6
1025;19349,6
1026;19559,6
1027;19822,6
1028;19551,6
1029;19833,6
1030;19477,6
1031;19189,6
1032;18909,6
1033;19208,6
1034;18907,6
1035;18567,6
1036;18313,6
1037;18571,6
1038;18236,6
1039;18004,6
1040;17710,6
1041;17386,6
1042;17002,6
1043;16783,6
1044;17002,6
1045;17288,6
1046;17543,6
1047;17334,6
1048;17569,6
1049;17311,6
1050;17597,6
1051;17826,6
1052;18094,6
1053;17764,6
1054;17370,6
1055;17055,6
1056;17315,6
1057;17594,6
1058;17255,6
1059;16964,6
1060;17210,6
1061;17005,6
1062;17218,6
1063;17500,6
1064;17777,6
1065;17395,6
1066;17181,6
1067;16948,6
1068;17149,6
1069;17395,6
1070;17676,6
1071;17956,6
1072;18196,6
1073;18424,6
1074;18691,6
1075;18978,6
1076;18603,6
1077;18331,6
1078;18622,6
1079;18899,6
1080;19127,6
1081;19377,6
1082;19622,6
1083;19238,6
1084;18913,6
1085;18622,6
1086;18904,6
1087;19116,6
1088;19356,6
1089;19133,6
1090;18829,6
1091;18605,6
1092;18379,6
1093;18625,6
1094;18922,6
1095;19183,6
1096;18797,6
1097;19049,6
1098;19279,6
1099;19515,6
1100;19124,6
1101;18900,6
1102;18677,6
1103;18901,6
1104;18655,6
1105;18879,6
1106;19144,6
1107;19379,6
1108;19033,6
1109;18667,6
1110;18944,6
1111;18684,6
1112;18355,6
1113;18144,6
1114;17921,6
1115;17652,6
1116;17935,6
1117;18165,6
1118;18459,6
1119;18667,6
1120;18348,6
1121;18052,6
1122;17797,6
1123;18056,6
1124;17811,6
1125;17567,6
1126;17768,6
1127;18008,6
1128;18279,6
1129;17927,6
1130;18210,6
1131;18421,6
1132;18149,6
1133;18437,6
1134;18657,6
1135;18884,6
1136;18639,6
1137;18840,6
1138;19111,6
1139;18745,6
1140;19006,6
1141;19207,6
1142;19501,6
1143;19192,6
1144;18884,6
1145;19163,6
1146;19457,6
1147;19175,6
1148;19386,6
1149;19007,6
1150;19209,6
1151;19430,6
1152;19222,6
1153;18868,6
1154;18521,6
1155;18724,6
1156;18942,6
1157;18685,6
1158;18289,6
1159;18065,6
1160;17839,6
1161;18055,6
1162;18260,6
1163;18045,6
1164;17810,6
1165;17525,6
1166;17298,6
1167;16955,6
1168;17197,6
1169;17473,6
1170;17731,6
1171;17464,6
1172;17716,6
1173;17367,6
1174;17655,6
1175;17331,6
1176;17560,6
1177;17805,6
1178;17463,6
1179;17695,6
1180;17907,6
1181;18131,6
1182;17844,6
1183;18097,6
1184;18327,6
1185;18603,6
1186;18293,6
1187;18008,6
1188;17715,6
1189;17491,6
1190;17750,6
1191;17517,6
1192;17796,6
1193;17996,6
1194;17640,6
1195;17435,6
1196;17666,6
1197;17342,6
1198;17629,6
1199;17380,6
1200;17637,6
1201;17899,6
1202;17608,6
1203;17359,6
1204;17605,6
1205;17255,6
1206;16967,6
1207;16747,6
1208;17002,6
1209;16696,6
1210;16968,6
1211;16736,6
1212;16988,6
1213;17190,6
1214;16840,6
1215;17053,6
1216;16805,6
1217;16532,6
1218;16784,6
1219;17033,6
1220;17270,6
1221;16914,6
1222;16565,6
1223;16806,6
1224;17102,6
1225;17332,6
1226;17580,6
1227;17367,6
1228;17039,6
1229;17320,6
1230;17544,6
1231;17760,6
1232;17991,6
1233;17594,6
1234;17392,6
1235;17102,6
1236;17381,6
1237;17095,6
1238;17345,6
1239;17550,6
1240;17798,6
1241;17493,6
1242;17243,6
1243;17539,6
1244;17765,6
1245;17536,6
1246;17737,6
1247;17964,6
1248;18257,6
1249;18458,6
1250;18096,6
1251;17711,6
1252;17930,6
1253;18209,6
1254;18009,6
1255;17654,6
1256;17931,6
1257;17718,6
1258;17472,6
1259;17143,6
1260;17376,6
1261;17007,6
1262;17223,6
1263;17494,6
1264;17768,6
1265;18037,6
1266;18318,6
1267;18609,6
1268;18376,6
1269;18666,6
1270;18941,6
1271;18581,6
1272;18811,6
1273;18426,6
1274;18713,6
1275;18436,6
1276;18659,6
1277;18437,6
1278;18682,6
1279;18931,6
1280;18557,6
1281;18829,6
1282;18481,6
1283;18083,6
1284;17847,6
1285;18145,6
1286;17915,6
1287;18116,6
1288;18353,6
1289;18029,6
1290;18311,6
1291;18608,6
1292;18850,6
1293;19089,6
1294;19339,6
1295;18995,6
1296;18719,6
1297;18360,6
1298;18636,6
1299;18844,6
1300;18576,6
1301;18850,6
1302;19063,6
1303;18720,6
1304;18474,6
1305;18223,6
1306;17949,6
1307;18210,6
1308;17817,6
1309;17464,6
1310;17740,6
1311;17409,6
1312;17625,6
1313;17922,6
1314;18140,6
1315;17927,6
1316;18221,6
1317;17925,6
1318;17716,6
1319;17964,6
1320;17742,6
1321;17474,6
1322;17270,6
1323;16911,6
1324;17195,6
1325;17479,6
1326;17763,6
1327;17485,6
1328;17695,6
1329;17976,6
1330;17765,6
1331;17551,6
1332;17311,6
1333;17015,6
1334;17233,6
1335;17436,6
1336;17697,6
1337;17337,6
1338;17544,6
1339;17168,6
1340;17369,6
1341;17001,6
1342;16731,6
1343;16349,6
1344;16557,6
1345;16852,6
1346;16618,6
1347;16351,6
1348;16139,6
1349;19122,72
1350;19402,72
1351;19654,72
1352;19319,72
1353;19523,72
1354;19250,72
1355;19534,72
1356;19829,72
1357;20059,72
1358;20277,72
1359;20544,72
1360;20802,72
1361;21083,72
1362;21343,72
1363;21623,72
1364;21415,72
1365;21671,72
1366;21911,72
1367;21697,72
1368;21349,72
1369;21627,72
1370;21355,72
1371;21073,72
1372;20730,72
1373;20481,72
1374;20108,72
1375;20397,72
1376;20071,72
1377;19683,72
1378;19469,72
1379;19738,72
1380;19943,72
1381;20185,72
