Time;Value
0;12290,827052
1;12778,606616
2;12544,721512
3;12970,733064
4;11982,902752
5;12364,957824
6;11689,859552
7;11990,411984
8;13174,031784
9;13075,770736
10;12975,769744
11;13651,829564
12;13445,234108
13;12222,41978
14;13735,209512
15;12922,197784
16;13387,312288
17;13343,447384
18;11616,232448
19;13662,360804
20;13496,837184
21;12381,212564
22;13108,509156
23;11643,842612
24;13102,602504
25;12786,299
26;13564,695
27;13596,700812
28;13153,793488
29;12522,78906
30;11463,0258
31;13539,007932
32;12929,432288
33;13535,940136
34;12002,316864
35;11972,692028
36;12345,268984
37;12841,2446
38;13247,979404
39;12548,521916
40;11734,77758
41;11748,880284
42;13218,720872
43;12689,594744
44;11968,937412
45;12856,034124
46;12337,027144
47;13604,805288
48;13546,15086
49;11871,592124
50;12659,374664
51;13334,38136
52;12175,166564
53;12140,184532
54;13734,843208
55;13646,014488
56;13406,49746
57;12347,8789
58;13604,53056
59;12932,957964
60;12536,617036
61;11829,512952
62;12573,018496
63;12098,242724
64;13059,699148
65;13173,116024
66;12169,351488
67;13645,693972
68;11667,102916
69;13209,517484
70;12023,883012
71;11993,067688
72;11542,46798
73;12804,064744
74;13374,583224
75;13194,9569
76;12898,891692
77;11865,868624
78;13411,259412
79;11693,56838
80;11896,271856
81;13696,289712
82;11497,549952
83;12729,155576
84;13599,768608
85;11865,04444
86;12810,841368
87;12236,247756
88;13537,45114
89;12092,656588
90;12302,54878
91;13733,744296
92;12973,11404
93;11761,975652
94;11458,859092
95;13641,61884
96;12912,216
97;12567,43236
98;13366,249808
99;12532,1756
100;12133,682636
101;12427,687384
102;13384,702372
103;11783,587588
104;13584,109112
105;12113,306976
106;13238,91338
107;13107,456032
108;12502,001308
109;11986,886308
110;12194,077008
111;12987,583048
112;12672,9737
113;13357,96218
114;12483,64032
115;12576,727324
116;11778,963
117;13580,26292
118;12234,874116
119;12641,654708
120;11809,274656
121;13669,503732
122;11555,197044
123;13310,80054
124;12353,968704
125;12026,492928
126;12756,30786
127;13516,84654
128;12792,159864
129;13469,318596
130;11729,695112
131;11778,459332
132;12236,018816
133;12326,083812
134;13296,285744
135;13204,938684
136;11758,58734
137;13450,316576
138;12881,446464
